type,title,original_title,year,tvdb_id,tmdb_id,favorite,list_status,added_at,for_later_at,stopped_watching_at,hidden_at
show,Impulse,Impulse,2018,344995,78670,no,watching,2019-04-11T18:28:27.000Z,,,
show,Origin,Origin,2018,350498,82875,no,watching,2019-04-09T18:27:53.000Z,,,
show,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,2009,85249,31911,no,watching,2019-03-15T23:08:03.000Z,,,
show,Your Lie in April,四月は君の嘘,2014,279830,61663,no,watching,2019-03-15T23:00:26.000Z,,,
show,Dororo (2019),どろろ（2019）,2019,354167,83100,no,watching,2019-03-15T12:33:43.000Z,,,
show,My Hero Academia,僕のヒーローアカデミア,2016,305074,65930,no,watching,2019-03-11T04:34:08.000Z,,,
show,Noragami,ノラガミ,2014,275610,64710,no,watching,2019-03-10T20:00:27.000Z,,,
show,Haikyu!!,ハイキュー!!,2014,278157,60863,no,watching,2019-03-01T23:37:34.000Z,,,
show,The Promised Neverland,約束のネバーランド,2019,348002,83097,no,watching,2019-02-17T11:16:10.000Z,,,
show,Devilman Crybaby,DEVILMAN crybaby,2018,338192,75208,no,watching,2019-02-03T15:48:07.000Z,,,
show,The King's Avatar,全职高手,2017,326270,71194,no,watching,2019-01-17T15:57:21.000Z,,,
show,Made in Abyss,メイドインアビス,2017,326109,72636,no,watching,2019-01-15T10:45:37.000Z,,,
show,The Rising of the Shield Hero,盾の勇者の成り上がり,2019,353712,83095,no,watching,2019-01-15T10:33:41.000Z,,,
show,Sword Art Online Alternative: Gun Gale Online,ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,2018,335815,78204,no,watching,2019-01-11T02:04:26.000Z,,,
show,Mob Psycho 100,モブサイコ100,2016,307375,67075,no,watching,2019-01-09T14:54:52.000Z,,,
show,Violet Evergarden,ヴァイオレット・エヴァーガーデン,2018,330139,75214,no,watching,2018-12-11T05:31:33.000Z,,,
show,That Time I Got Reincarnated as a Slime,転生したらスライムだった件,2018,352408,82684,no,watching,2018-11-18T18:43:38.000Z,,,
show,Sword Art Online,ソードアート・オンライン,2012,259640,45782,no,watching,2018-11-18T10:10:57.000Z,,,
show,Mirzapur,मिर्ज़ापुर,2018,354808,84105,no,watching,2018-11-18T10:10:33.000Z,,,
show,Constantine,Constantine,2014,273690,60743,no,watching,2018-10-27T15:56:08.000Z,,,
show,Tom Clancy's Jack Ryan,Tom Clancy's Jack Ryan,2018,336261,73375,no,watching,2018-10-27T10:09:17.000Z,,,
show,Attack on Titan,進撃の巨人,2013,267440,1429,no,watching,2018-10-08T09:00:50.000Z,,,
show,Manifest,Manifest,2018,349271,79696,no,watching,2018-10-03T23:11:34.000Z,,,
show,Dark Matter,Dark Matter,2015,292174,62425,no,watching,2018-05-28T15:01:04.000Z,,,
show,The Crossing,The Crossing,2018,328631,71383,no,watching,2018-04-29T10:01:33.000Z,,,
show,Steins;Gate 0,シュタインズ・ゲート ゼロ,2018,339268,78102,no,watching,2018-04-26T23:16:19.000Z,,,
show,Friends,Friends,1994,79168,1668,no,watching,2018-04-26T22:56:34.000Z,,,
show,House,House,2004,73255,1408,no,watching,2018-04-26T22:56:25.000Z,,,
show,Breaking Bad,Breaking Bad,2008,81189,1396,no,watching,2018-04-26T22:56:11.000Z,,,
show,One-Punch Man,ワンパンマン,2015,293088,63926,no,watching,2018-04-26T22:55:16.000Z,,,
show,Parasyte -the maxim-,寄生獣 セイの格率,2014,279831,61459,no,watching,2017-12-31T16:02:15.000Z,,,
show,No Game No Life,ノーゲーム・ノーライフ,2014,278155,60808,no,watching,2017-12-31T16:01:50.000Z,,,
show,Steins;Gate,STEINS;GATE,2011,244061,42509,no,watching,2017-12-31T16:00:57.000Z,,,
show,Code Geass: Lelouch of the Rebellion,コードギアス 反逆のルルーシュ,2006,79525,31724,no,watching,2017-12-31T16:00:22.000Z,,,
show,Death Note,DEATH NOTE -デスノート-,2006,79481,13916,no,watching,2017-12-31T15:59:47.000Z,,,
show,Naruto Shippuden,NARUTO－ナルト－ 疾風伝,2007,79824,31910,no,watching,2017-12-31T15:58:23.000Z,,,
show,Young Sheldon,Young Sheldon,2017,328724,71728,no,watching,2017-12-29T05:02:36.000Z,,,
show,The Expanse,The Expanse,2015,280619,63639,no,watching,2017-12-18T08:27:50.000Z,,,
show,Legion,Legion,2017,320724,67195,no,watching,2017-12-18T08:27:38.000Z,,,
show,Prison Break,Prison Break,2005,360115,2288,no,watching,2017-12-16T20:29:39.000Z,,,
show,Dark,Dark,2017,334824,70523,no,watching,2017-12-16T20:29:39.000Z,,,
show,Marvel's The Punisher,Marvel's The Punisher,2017,331980,67178,no,watching,2017-12-16T20:29:39.000Z,,,
show,13 Reasons Why,13 Reasons Why,2017,323168,66788,no,watching,2017-12-16T20:29:39.000Z,,,
show,The Grand Tour (2016),The Grand Tour (2016),2016,314087,67557,no,watching,2017-12-16T20:29:39.000Z,,,
show,Stranger Things,Stranger Things,2016,305288,66732,no,watching,2017-12-16T20:29:39.000Z,,,
show,Westworld,Westworld,2016,296762,63247,no,watching,2017-12-16T20:29:39.000Z,,,
show,Mr. Robot,Mr. Robot,2015,289590,62560,no,watching,2017-12-16T20:29:39.000Z,,,
show,Marvel's Jessica Jones,Marvel's Jessica Jones,2015,284190,38472,no,watching,2017-12-16T20:29:39.000Z,,,
show,The Seven Deadly Sins,七つの大罪,2014,284131,62104,no,watching,2017-12-16T20:29:39.000Z,,,
show,Marvel's Daredevil,Marvel's Daredevil,2015,281662,61889,no,watching,2017-12-16T20:29:39.000Z,,,
show,Tokyo Ghoul,東京喰種トーキョーグール,2014,281249,61374,no,watching,2017-12-16T20:29:39.000Z,,,
show,The Flash (2014),The Flash (2014),2014,279121,60735,no,stopped,2017-12-16T20:29:39.000Z,,2017-12-16T20:29:39.000Z,
show,Sense8,Sense8,2015,268156,61664,no,watching,2017-12-16T20:29:39.000Z,,,
show,House of Cards (US),House of Cards (US),2013,262980,1425,no,watching,2017-12-16T20:29:39.000Z,,,
show,Black Mirror,Black Mirror,2011,253463,42009,no,watching,2017-12-16T20:29:39.000Z,,,
show,Suits,Suits,2011,247808,37680,no,watching,2017-12-16T20:29:39.000Z,,,
show,Sherlock,Sherlock,2010,176941,19885,no,watching,2017-12-16T20:29:39.000Z,,,
